field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.005,-1.6915377066108827e-06,1.675589420191836e-06,-2.7532525416006323e-05,1.1041041270651264e-05,-1.691391717006058e-06,1.6762986851320134e-06,9.295281812295067e-10,6.533313410598303e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-1.5093031874044505e-08,1.1361621719239163e-09,3.367690402138071e-06,1.1361621719239163e-09,-0.0044817159749786,0.0003373747127989,diode-lowfield_-4.8V/data.csv
0.0,-1.696262978871635e-06,1.6780976083184989e-06,-3.665507914250727e-05,1.7353828167533126e-06,-1.6959477591252805e-06,1.6786532176380927e-06,8.182781638050902e-10,8.46586560004877e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-1.7294541487187758e-08,1.1774073029080131e-09,3.374600976763373e-06,1.1774073029080131e-09,-0.0051249145028622,0.0003489072554258,diode-lowfield_-4.8V/data.csv
0.005,-1.6972133594806786e-06,1.6757505474625295e-06,-4.268296353365893e-05,-3.679016316736221e-06,-1.696854289317312e-06,1.6762912560562995e-06,4.708800745557203e-10,8.78901382284714e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.0563033261012472e-08,9.97093618671578e-10,3.373145545373612e-06,9.97093618671578e-10,-0.0060961002080729,0.0002956030602005,diode-lowfield_-4.8V/data.csv
0.01,-1.6978025276947005e-06,1.6745942568443154e-06,-3.77708587219385e-05,1.1654074047064147e-06,-1.697933310333114e-06,1.6747461589547393e-06,8.627389850267141e-10,5.729046646277632e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.3187151378374623e-08,1.0356342554382675e-09,3.372679469287853e-06,1.0356342554382675e-09,-0.0068749940780084,0.0003070729784694,diode-lowfield_-4.8V/data.csv
0.015,-1.7018745837290772e-06,1.6737428509632033e-06,-3.623534007882777e-05,1.7986937265417967e-06,-1.7009947274415548e-06,1.6747006373016823e-06,1.2725321823099723e-09,1.5810831532049972e-09,21,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.6294090139872482e-08,2.0295718987912793e-09,3.375695364743237e-06,2.0295718987912793e-09,-0.0077892366753516,0.0006012490014234,diode-lowfield_-4.8V/data.csv
0.02,-1.6951547828554425e-06,1.665436794598005e-06,-4.115144784135802e-05,-2.0219249987404507e-06,-1.6949618062994554e-06,1.665162977955996e-06,8.506770863571503e-10,8.93318994530954e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.979882834345947e-08,1.2335600233644431e-09,3.360124784255451e-06,1.2335600233644431e-09,-0.0088683695567164,0.0003671317615024,diode-lowfield_-4.8V/data.csv
0.025,-1.68419947495246e-06,1.6516787745505444e-06,-3.595711046534469e-05,3.123526304767303e-06,-1.6840152717705758e-06,1.6517750312614468e-06,1.0422679139454035e-09,5.0757595430139e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-3.2240240509129005e-08,1.1592910565621863e-09,3.3357903030320225e-06,1.1592910565621863e-09,-0.0096649482072733,0.0003475473861897,diode-lowfield_-4.8V/data.csv
0.03,-1.6690683548184988e-06,1.6362254066373863e-06,-3.995366427893608e-05,-6.482371859831211e-07,-1.669298188129827e-06,1.63607607858892e-06,7.833614885214493e-10,5.39942106004949e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-3.3222109540906984e-08,9.514161547585792e-10,3.3053742667187466e-06,9.514161547585792e-10,-0.0100509373100089,0.0002878536992899,diode-lowfield_-4.8V/data.csv
0.035,-1.6488564247993862e-06,1.616263064956538e-06,-3.697616574849184e-05,3.38555186885059e-06,-1.6484446344921377e-06,1.6166480835049963e-06,1.0264720403593712e-09,6.065714530564632e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-3.179655098714134e-08,1.192297688206498e-09,3.265092717997134e-06,1.192297688206498e-09,-0.0097383301894856,0.0003651823472314,diode-lowfield_-4.8V/data.csv
0.04,-1.6248821153568322e-06,1.598189065697354e-06,-3.8626917710715504e-05,2.2132312462977896e-06,-1.6254344477480394e-06,1.5979402868597503e-06,1.257803401759709e-09,6.177699357433164e-10,21,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.7494160888289112e-08,1.401324049242928e-09,3.2233747346077897e-06,1.401324049242928e-09,-0.0085296197780226,0.0004347539892041,diode-lowfield_-4.8V/data.csv
0.045,-1.5966415270427109e-06,1.5756258751459056e-06,-3.923140051624413e-05,1.581855014978908e-06,-1.5975292921345875e-06,1.5753780498803771e-06,1.896003762791e-09,9.8715134301188e-10,21,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-2.2151242254210392e-08,2.137591645410271e-09,3.172907342014965e-06,2.137591645410271e-09,-0.006981370669382,0.0006737176686763,diode-lowfield_-4.8V/data.csv
0.05,-1.5597395805995908e-06,1.5431606595716698e-06,-4.360826397627312e-05,-4.2165941375622214e-07,-1.5598271820301751e-06,1.5441005823788969e-06,9.693075903740683e-10,9.148448254129575e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-1.572659965127828e-08,1.3328534275537004e-09,3.103927764409072e-06,1.3328534275537004e-09,-0.0050666770765756,0.0004294141605715,diode-lowfield_-4.8V/data.csv
-0.05,-2.408406779584929e-06,2.4053677253756807e-06,-5.693736749075326e-05,-1.068170800634948e-05,-2.4074439819406786e-06,2.405310749529955e-06,7.36782138109734e-10,1.0574067944547631e-09,19,19,-4.2,2024/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-075.hdf5,-2.1332324107235277e-09,1.2887812258085731e-09,4.812754731470634e-06,1.2887812258085731e-09,-0.0004432456108295,0.0002677845484172,diode-lowfield_-4.2V/data.csv
-0.045,-2.4507309279250995e-06,2.462613486902948e-06,-5.144653475324727e-05,-6.756550829787068e-06,-2.4508129055573164e-06,2.4623374555410505e-06,1.0188507512476124e-09,9.194607320165507e-10,19,19,-4.2,2024/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-075.hdf5,1.1524549983734136e-08,1.3723938541971964e-09,4.913150361098367e-06,1.3723938541971964e-09,0.0023456538344488,0.0002793314938164,diode-lowfield_-4.2V/data.csv
